k,PSNR
1,22.044995909207543
2,21.938372346180994
3,22.786539317049947
4,22.937983535559457
5,23.008558700747386
6,23.010460788071544
7,22.898861106049395
8,22.792818279820075
9,22.862501234876163
10,22.673694505392188
11,22.695186765335336
12,22.582176666678542
13,22.46426301560923
14,22.498260035670903
15,22.5433959329761
16,22.65693854674169
17,22.655849992628923
18,22.857687640048656
19,22.990559747126156
20,22.939997405882604
21,22.935305735964185
22,23.106833127547688
23,23.072672708408565
24,23.04395817706844
25,23.33860325937294
26,23.285956381149987
27,23.29025679776059
28,23.25781860067704
29,23.248023715723782
30,23.16820919568795
31,23.21117842209666
32,23.207376718360987
33,23.16290365613191
34,23.15780726087164
35,23.128668055705187
36,23.132709011776047
37,23.098692308081333
38,23.05941979781347
39,23.070073852623647
40,23.055075439145604
41,23.026441799377476
42,23.102990427415577
43,23.122938092661343
44,23.17116877345141
45,23.136508284451676
46,23.174998036958776
47,23.14320949585249
48,23.16726975151683
49,23.226860259914368
50,23.278476463121677
51,23.25946196562962
52,23.22189228854515
53,23.24813014032829
54,23.336528667059437
55,23.329246092312342
56,23.318518032886008
57,23.32079261892359
58,23.326463615911063
59,23.299676353416253
60,23.26697698792802
61,23.270205153680376
62,23.25930766922245
63,23.218029905215896
64,23.233926268165686
65,23.220828623572125
66,23.214692790247096
67,23.208350553411165
68,23.24500698765312
69,23.266432517416998
70,23.231145594102813
71,23.260003578303024
72,23.263994212456343
73,23.244152671053794
74,23.260555132989552
75,23.2625343966671
76,23.269313304660777
77,23.23382254252239
78,23.215744141893264
79,23.203595617787354
80,23.21160214415629
81,23.309605320822264
82,23.287286110787427
83,23.311623802013433
84,23.362934795612375
85,23.354389306861037
86,23.34562490066283
87,23.324799834447276
88,23.316519702739164
89,23.314680465909706
90,23.309821391871253
91,23.318065477433837
92,23.372061921553154
93,23.347777873118577
94,23.327564349128274
95,23.34843846083863
96,23.337442038103656
97,23.337903211658805
98,23.345396196854523
99,23.34917449022786
100,23.326317079880678
